brand,fuelType,gearbox,yearOfRegistration,kilometer,price
ford,benzin,manuell,2011,204047,7930.270145715112
audi,diesel,automatik,2005,274744,8568.672657813006
vw,diesel,automatik,2002,273546,5083.03339509734
bmw,benzin,manuell,2003,223757,4890.2321204504115
ford,diesel,automatik,2005,64744,10063.726498681443
audi,benzin,manuell,1991,288371,3072.3184994303347
audi,diesel,automatik,1993,164913,7506.127459380238
bmw,benzin,manuell,1996,166060,8778.13170473874
audi,benzin,manuell,1993,211910,7595.029815945683
opel,benzin,manuell,2001,231883,5601.340657187702
vw,benzin,manuell,2008,286112,8251.540963612339
vw,benzin,manuell,2007,176801,9214.141438394681
bmw,benzin,manuell,2002,184967,10965.508883891074
opel,benzin,manuell,2013,224930,10977.680451436901
mercedes_benz,benzin,manuell,2005,80256,13321.627756168391
audi,benzin,manuell,1992,95775,7744.070219636878
audi,benzin,manuell,2010,189516,9901.83174209395
mercedes_benz,diesel,automatik,2005,23917,14659.654078554135
ford,diesel,automatik,2007,99544,10302.364002974606
audi,benzin,manuell,2005,216808,9095.717416342584
vw,diesel,manuell,2004,292957,4760.337943960978
opel,benzin,manuell,1992,158251,2948.3206853301353
mercedes_benz,benzin,manuell,2005,122904,7509.16517223255
vw,diesel,automatik,2011,134911,14386.414842158763
vw,diesel,manuell,1998,207201,5425.2681261205225
vw,diesel,manuell,2006,165620,9670.970656004865
bmw,benzin,manuell,1990,11852,10449.640042067103
vw,diesel,manuell,1999,164075,7368.94015616177
mercedes_benz,benzin,automatik,2001,123018,12706.155553140146
opel,benzin,manuell,2016,211736,7502.67328177295
vw,benzin,manuell,1995,263156,6332.944884396553
audi,diesel,manuell,1997,288922,6952.225297733148
ford,benzin,automatik,2001,185017,6613.463738729961
audi,diesel,manuell,2016,111955,16698.51899893817
bmw,diesel,automatik,2013,135963,12627.787671015942
ford,diesel,automatik,1990,57056,6125.957681845759
vw,diesel,manuell,1996,281101,5844.3555946035685
vw,diesel,automatik,2012,254956,6900.2897286575535
ford,benzin,manuell,1991,256925,2002.1866624382073
bmw,benzin,manuell,2013,101796,14162.34423976773
mercedes_benz,benzin,manuell,1997,100053,12052.778725233245
vw,benzin,manuell,2014,257700,6171.5668704166455
vw,benzin,manuell,1997,165641,7701.62658554745
bmw,benzin,manuell,2001,212873,6703.333885276646
bmw,benzin,manuell,2007,149498,9939.525810132218
opel,benzin,manuell,1993,135617,2154.653419560311
bmw,benzin,manuell,2005,191499,7538.241943799612
bmw,diesel,manuell,2003,244829,9108.703521180883
audi,benzin,manuell,2011,103562,10560.262127827968
ford,diesel,automatik,2016,243697,11736.486500479372
ford,diesel,automatik,2007,77040,10264.750929545371
mercedes_benz,benzin,manuell,2001,123834,8003.769291227029
bmw,diesel,manuell,2000,274238,6223.526280460158
opel,diesel,manuell,2001,286563,4873.800787634458
opel,diesel,automatik,2011,277542,7833.13010710347
ford,benzin,manuell,1998,98232,6486.675177499198
bmw,benzin,automatik,1994,253780,6368.7111927541255
mercedes_benz,benzin,manuell,1999,281145,7700.732177425423
opel,diesel,manuell,1990,293570,500.0
ford,diesel,automatik,1992,11166,6510.346976635763
bmw,diesel,manuell,1992,224772,5718.701718383774
mercedes_benz,diesel,automatik,2010,299039,11425.194379156108
ford,diesel,manuell,2009,230576,5897.392041042074
ford,diesel,manuell,2008,73786,9588.367554488623
ford,benzin,manuell,2002,229964,3921.939656055589
bmw,diesel,manuell,2009,36047,14167.326716919435
opel,benzin,manuell,1994,146779,2922.8691445598215
ford,benzin,manuell,2014,189737,10465.82108764535
ford,benzin,manuell,2003,139653,4699.240197812374
mercedes_benz,diesel,manuell,2015,211450,10901.421954208363
ford,benzin,manuell,1994,75866,5181.846782732807
audi,benzin,manuell,2003,183835,7959.820793790214
vw,benzin,manuell,2008,195221,5813.614190712844
audi,benzin,manuell,2003,191969,7150.496736028653
mercedes_benz,benzin,automatik,2002,90349,10891.454273871366
bmw,diesel,manuell,1994,95087,8208.313079466781
bmw,diesel,manuell,2000,81053,11106.762224933938
audi,benzin,automatik,1996,141224,6683.151673364658
vw,benzin,manuell,1998,177858,7559.594450012411
ford,benzin,manuell,2008,111948,9893.34695960036
ford,benzin,manuell,2007,125944,7370.449719038016
opel,benzin,manuell,2006,89491,8951.94724005136
audi,diesel,manuell,1999,69562,10494.782977908408
mercedes_benz,diesel,automatik,2015,198944,16043.202211746673
ford,benzin,automatik,1992,245736,1484.7063566254742
mercedes_benz,benzin,manuell,1999,90757,11035.868046580861
audi,benzin,manuell,1993,258868,3785.4217136737166
vw,benzin,automatik,1999,173438,8668.58977467315
bmw,diesel,manuell,2015,54471,17846.917178959113
opel,diesel,manuell,1999,112969,7536.088956888901
opel,diesel,manuell,2014,7214,13462.29606847591
ford,diesel,manuell,2003,16555,11328.808864519184
audi,diesel,manuell,2008,104158,12046.164959309252
bmw,diesel,manuell,2002,139066,12839.140658967503
opel,benzin,manuell,1997,240265,3212.4051172655186
vw,benzin,manuell,2010,44619,10999.156051230744
vw,benzin,automatik,2016,252556,9259.457370889113
bmw,benzin,manuell,1997,74184,7296.766622201939
mercedes_benz,benzin,manuell,2011,45807,15218.698692139986
audi,benzin,manuell,1997,211468,4640.623196040747
opel,diesel,manuell,2009,233429,9478.64237828162
ford,diesel,automatik,2011,183449,8391.617418997641
opel,benzin,automatik,2002,39132,9508.222173459875
opel,benzin,manuell,2009,39026,12444.81563774618
vw,diesel,manuell,1997,120068,3970.2694030645453
ford,benzin,manuell,1992,137927,6868.858315688279
ford,benzin,manuell,1992,299589,500.0
mercedes_benz,benzin,manuell,2002,89510,11021.443073243208
audi,benzin,manuell,2014,61814,14820.893838274515
audi,benzin,manuell,1993,284040,4308.39358417333
mercedes_benz,diesel,manuell,2002,50419,13002.445907389521
opel,diesel,manuell,2009,12788,13740.31687555955
mercedes_benz,diesel,manuell,1995,129726,9684.086069382718
opel,benzin,manuell,2009,123319,11674.941710048453
bmw,diesel,manuell,1998,187802,8927.451314281896
ford,diesel,manuell,2011,263931,10968.33327982463
mercedes_benz,benzin,manuell,2005,280205,9247.518260356484
ford,diesel,manuell,2004,90443,6682.514811347605
audi,benzin,manuell,1994,294342,7229.814017581762
audi,benzin,automatik,2002,191635,7605.783837284171
vw,benzin,automatik,2013,25543,15832.456022802602
mercedes_benz,benzin,manuell,1990,281841,3403.370164679158
bmw,benzin,manuell,2010,45709,15177.45538640387
bmw,benzin,automatik,2003,178635,8494.581633701308
audi,benzin,manuell,2009,238267,9873.276814634382
vw,diesel,manuell,2007,78584,10648.534181908391
audi,benzin,manuell,2001,84836,11971.784667384833
opel,benzin,manuell,1998,145472,5948.562251125513
bmw,benzin,manuell,2006,266030,9383.31396195235
ford,diesel,manuell,1993,70962,3234.644692790395
bmw,benzin,manuell,2005,200718,8857.280980317062
opel,diesel,manuell,1992,138514,5245.547452587443
audi,benzin,manuell,2007,37994,12675.542359659561
ford,benzin,manuell,2006,214708,7947.575820576776
bmw,benzin,manuell,1992,250596,3539.223632293818
bmw,benzin,manuell,2010,174812,11076.940657551946
bmw,diesel,manuell,2001,57025,13431.340146622488
vw,diesel,manuell,2011,50939,9363.186494831964
ford,benzin,automatik,1991,129931,5285.405752457511
ford,diesel,manuell,1994,154393,4611.31276100967
ford,benzin,manuell,2003,167894,5173.6428131695675
vw,benzin,manuell,1995,76878,6967.2563364139705
ford,benzin,automatik,1998,152726,7886.6569452129825
ford,benzin,automatik,2007,92048,11517.755747226272
bmw,diesel,automatik,1993,207418,6748.970453640057
bmw,benzin,manuell,2008,239959,10414.431445641423
audi,benzin,manuell,1992,197542,5951.261847668766
mercedes_benz,benzin,manuell,1994,5367,9961.60309426025
audi,benzin,manuell,2005,297652,5507.339172017688
bmw,benzin,manuell,2011,12011,13606.928953316507
bmw,diesel,manuell,1994,299829,5960.200023302205
bmw,benzin,manuell,1998,14373,10549.319779430965
opel,benzin,automatik,2014,157355,8983.626670404117
mercedes_benz,benzin,manuell,2016,36261,13547.485746736314
vw,benzin,manuell,2005,33083,11586.08717814457
ford,benzin,manuell,2002,206601,4647.812366603664
vw,diesel,automatik,1999,219713,7001.321633483973
audi,diesel,automatik,2006,39879,15561.980360603686
mercedes_benz,benzin,manuell,2005,293115,5674.313284719772
opel,diesel,automatik,1997,99536,7541.573929230733
mercedes_benz,benzin,automatik,1990,98906,7465.8387806716955
vw,diesel,automatik,1994,92608,8117.454313441941
bmw,diesel,automatik,2015,141056,16737.619997630653
audi,diesel,manuell,2001,57461,9156.602278006387
opel,diesel,automatik,2003,130309,9648.51692305865
audi,benzin,manuell,2002,66944,11808.405662490552
opel,benzin,automatik,2011,20168,12117.074404064826
opel,benzin,manuell,1991,113777,3618.2895106603146
vw,benzin,automatik,1992,203318,4361.314053477383
ford,diesel,automatik,1997,230111,5715.005616834683
vw,benzin,manuell,2003,109234,9088.848911050683
bmw,benzin,automatik,2008,100505,13431.820789601825
ford,benzin,manuell,2003,237301,3681.0215415765238
audi,benzin,manuell,2001,205950,8666.399746557416
opel,diesel,manuell,2015,250475,11040.674743285357
opel,diesel,automatik,1994,272299,3533.1443405354476
opel,benzin,manuell,2005,247263,3113.5070401754992
opel,benzin,manuell,2004,281263,4202.621440999865
bmw,benzin,manuell,2002,127916,9833.288815410853
audi,benzin,manuell,2011,121428,10154.539643319775
vw,diesel,manuell,1997,99855,7062.692904634479
ford,benzin,automatik,2015,74390,10598.145918662189
audi,benzin,manuell,1998,225902,6792.898337479666
vw,benzin,automatik,2004,215763,7333.672972353077
vw,diesel,manuell,2004,241409,4403.145252778633
ford,diesel,automatik,2012,54380,13739.597292372971
opel,benzin,manuell,2001,149920,6016.836578914564
audi,benzin,manuell,1997,70477,9465.081424131606
audi,benzin,manuell,1990,268444,2043.8213493668582
bmw,diesel,manuell,1999,83886,9320.060898885464
mercedes_benz,benzin,manuell,2012,47453,13494.673060313291
audi,benzin,automatik,1990,173109,4430.564675177393
audi,diesel,manuell,2014,264325,10941.737644871571
opel,diesel,manuell,2004,275140,5719.137698137189
opel,benzin,manuell,1993,33348,5746.960183287846
opel,benzin,automatik,1998,101138,6242.260676505221
opel,benzin,manuell,2004,50290,8467.095097991778
opel,benzin,manuell,1998,95820,10045.1871782604
mercedes_benz,benzin,manuell,1992,162482,5194.272272752687
mercedes_benz,diesel,manuell,2007,87768,12507.681987180711
vw,diesel,manuell,2008,24917,17342.441162552223
ford,benzin,manuell,1993,155458,4422.359953690829
audi,diesel,manuell,1997,20578,8618.469001144455
opel,benzin,manuell,1996,71875,7426.530805965895
bmw,benzin,manuell,2007,5153,12131.881666198278
vw,diesel,manuell,2009,30612,13951.352261707645
ford,benzin,automatik,2009,133713,9409.296580943977
vw,benzin,manuell,2015,255960,8221.106225765889
audi,benzin,manuell,2010,233514,11743.467453241374
mercedes_benz,benzin,manuell,1998,34155,11566.502028988867
ford,benzin,manuell,1992,15277,7753.944156173811
ford,diesel,automatik,2006,104735,11057.679519279918
bmw,diesel,manuell,2014,197415,12085.033214310353
vw,diesel,manuell,2016,225286,11711.31163038731
ford,diesel,manuell,1996,247822,5657.383089026691
vw,benzin,manuell,1996,105950,6383.10706527633
ford,diesel,automatik,1991,54560,9611.26390651976
audi,benzin,manuell,1993,12772,9920.290804802864
vw,benzin,manuell,2004,48324,10051.493824657418
bmw,diesel,automatik,2004,24222,14292.789796526726
bmw,benzin,automatik,2000,258936,7227.135693451438
vw,benzin,manuell,1998,84181,5339.521821607513
vw,benzin,manuell,2012,247821,8008.471706287092
vw,benzin,manuell,2002,168181,7068.15972801175
ford,benzin,automatik,2011,163987,9096.132318100206
opel,benzin,manuell,2016,139164,11323.235528057043
bmw,diesel,manuell,1998,246663,6998.701235532666
opel,benzin,automatik,1995,17817,8804.197836648153
mercedes_benz,benzin,manuell,2015,32363,16847.408571598597
audi,benzin,manuell,2007,129899,10752.749931377262
ford,diesel,manuell,1997,121372,4621.740663047001
ford,benzin,automatik,2006,165951,10867.064108021756
bmw,benzin,manuell,2003,222650,7734.163502143285
ford,benzin,manuell,2014,178325,9512.170319457302
mercedes_benz,diesel,manuell,1996,80948,9667.258726950919
audi,diesel,automatik,2016,101551,14736.362515901696
audi,benzin,automatik,2015,226937,13977.347072000786
opel,diesel,manuell,1994,64432,8790.426480579119
ford,benzin,manuell,1994,153732,4791.950105366507
mercedes_benz,benzin,automatik,2004,163943,10459.88976835391
mercedes_benz,benzin,automatik,1991,226328,6402.116977520629
mercedes_benz,benzin,manuell,1998,215734,7196.015472654059
ford,benzin,manuell,2001,142080,6173.065622515352
ford,benzin,automatik,2016,96203,13083.098882259495
opel,benzin,automatik,2016,113531,11367.643379581834
vw,benzin,manuell,1994,126419,5550.016396005149
bmw,benzin,manuell,2014,69660,14613.131388432452
opel,diesel,manuell,1992,189495,4514.504031886887
vw,diesel,automatik,2010,66471,11941.874563786587
audi,benzin,manuell,2012,196359,11738.024529314811
opel,benzin,manuell,2014,226689,7106.752760574243
ford,benzin,manuell,1996,288742,1166.310022568142
vw,benzin,automatik,2014,40078,12805.052411281384
mercedes_benz,benzin,automatik,1993,229120,4409.522341439483
vw,benzin,automatik,2004,30364,12316.213425078493
audi,diesel,manuell,2002,104488,9056.661285715303
audi,diesel,automatik,1998,57005,9911.525493889993
vw,benzin,automatik,1990,52873,8025.651565729963
mercedes_benz,benzin,manuell,2010,56727,13009.585947219522
mercedes_benz,diesel,manuell,1999,17961,12058.565972292854
bmw,benzin,automatik,2007,247816,7825.6364986251965
bmw,diesel,manuell,2001,23032,13588.786811434027
opel,benzin,manuell,2000,122559,7618.924366286597
bmw,benzin,manuell,2013,211252,12283.378856185169
mercedes_benz,benzin,manuell,1992,297164,4463.014742290916
bmw,benzin,manuell,2009,256843,9173.523666529214
bmw,diesel,automatik,2010,45477,14503.894999593023
audi,benzin,manuell,2000,296382,3849.9060400009685
vw,diesel,automatik,1997,197794,8278.978290142506
vw,benzin,manuell,1990,57972,6487.766407589885
audi,diesel,manuell,2015,137375,12712.543659199364
ford,diesel,automatik,2015,275775,9744.247652334701
mercedes_benz,benzin,manuell,1996,120910,7931.62736052248
ford,benzin,manuell,1990,59173,3124.2239414413743
opel,diesel,automatik,1993,263149,3403.497064931954
bmw,benzin,manuell,1991,286127,2454.221003641206
audi,diesel,manuell,2012,292800,8315.195000556472
ford,benzin,manuell,2014,286934,5242.6211687873565
mercedes_benz,benzin,automatik,1994,262493,3304.4347496914934
bmw,benzin,manuell,2010,139074,11161.380808458041
opel,diesel,manuell,1994,61728,6637.797544362627
audi,diesel,automatik,1999,187061,7345.828784756524
audi,benzin,manuell,2006,70135,12373.409141485841
mercedes_benz,diesel,manuell,2009,144580,12710.080187325557
mercedes_benz,diesel,manuell,2013,198541,13794.507965897976
bmw,benzin,manuell,1991,284241,2840.8138147184386
bmw,benzin,manuell,1995,90279,7013.743547189341
audi,diesel,manuell,1997,79314,9684.896356707923
mercedes_benz,diesel,manuell,1998,221743,6071.128231972517
ford,benzin,manuell,2016,6905,14471.057780954972
audi,diesel,manuell,2010,172094,10152.396190230298
ford,benzin,manuell,1998,225045,5276.4487898001735
vw,diesel,manuell,2016,167518,11441.956380637128
bmw,diesel,manuell,2003,118266,12628.480274464875
vw,diesel,automatik,2003,249421,5427.645217117527
bmw,benzin,manuell,2001,114455,8494.24544890677
bmw,benzin,manuell,1993,214607,5679.262420272856
bmw,benzin,manuell,2015,141921,14917.325640140132
bmw,benzin,automatik,1990,12840,11443.113362472384
audi,diesel,manuell,1994,161502,7032.009245521309
mercedes_benz,benzin,automatik,1996,19590,13864.818446180136
ford,benzin,manuell,1997,279632,2072.863175261854
opel,benzin,manuell,1993,182459,4698.971433544459
ford,benzin,automatik,1990,114749,2991.748504561043
ford,benzin,manuell,2008,148426,9061.780760294881
ford,diesel,manuell,2016,187658,7534.300438715332
audi,diesel,automatik,1993,81754,7282.5334825203145
opel,benzin,manuell,1998,90076,7098.495197121147
audi,diesel,manuell,2003,128503,8361.281721699215
opel,diesel,manuell,2015,81278,13314.864416183778
vw,benzin,manuell,2008,228583,8688.027181218546
opel,diesel,automatik,2010,35625,12035.519710922583
ford,benzin,manuell,2005,248850,4069.5705664887028
bmw,benzin,automatik,2001,107815,9632.420076217892
vw,benzin,manuell,1995,170560,3140.081521223722
bmw,benzin,automatik,2013,51537,14917.439662976123
ford,diesel,automatik,2011,118683,11779.475937332123
opel,diesel,automatik,1990,227606,2488.864815354787
vw,diesel,manuell,2009,84855,14014.438860280232
vw,benzin,manuell,1992,44021,5140.474270469537
audi,benzin,manuell,2009,158965,12607.84976888297
vw,diesel,manuell,2012,52934,11479.46114553183
audi,benzin,manuell,1993,97851,7052.146354912323
mercedes_benz,benzin,automatik,2001,137885,12016.958112822103
vw,benzin,manuell,1993,171408,5668.875728379977
mercedes_benz,benzin,automatik,2005,193616,9697.293153449647
vw,benzin,manuell,2015,204612,10740.364580107018
ford,benzin,automatik,1992,254064,2850.4886254963394
bmw,benzin,manuell,2000,24493,10200.23123211089
bmw,benzin,manuell,2016,111885,14986.22490572211
ford,benzin,automatik,1998,5314,11787.45825807856
opel,benzin,automatik,1993,7785,7951.850997593946
ford,benzin,automatik,2003,67621,10097.114568606006
opel,diesel,automatik,2003,181452,8779.192467301062
ford,benzin,manuell,2007,268880,3530.935088967289
bmw,diesel,automatik,1998,233194,8626.457009809434
bmw,diesel,manuell,2015,195655,11561.760637742209
mercedes_benz,benzin,manuell,2004,234558,7624.0095889533
vw,diesel,manuell,1997,55728,11728.352671782755
vw,diesel,manuell,2015,252751,9565.087585511785
bmw,benzin,manuell,2014,267627,9237.198843558657
ford,benzin,automatik,2003,33041,11668.053868352088
opel,benzin,manuell,1990,143637,1505.7444957364348
mercedes_benz,diesel,automatik,2006,249860,9831.671283715483
audi,diesel,manuell,2004,145447,12164.63825197925
mercedes_benz,diesel,manuell,1994,252939,6205.371347961939
audi,diesel,manuell,2007,280984,6137.924432310206
audi,benzin,manuell,2012,145025,12515.484421483929
mercedes_benz,diesel,manuell,1992,22548,9554.341176930238
audi,benzin,manuell,2009,105315,13903.477229795368
ford,diesel,manuell,1993,68477,5621.179578548799
mercedes_benz,benzin,manuell,2010,144863,13679.57896058889
mercedes_benz,benzin,automatik,2001,177802,12107.50704854857
ford,diesel,manuell,1990,141850,2886.5851642826437
audi,diesel,automatik,2016,62668,15956.82046886271
opel,diesel,automatik,1994,93843,7406.077911216676
vw,benzin,manuell,2006,205460,5904.781371168739
vw,benzin,manuell,1994,12960,7846.242420061746
opel,diesel,manuell,2015,68157,12599.479568741011
ford,benzin,manuell,2009,268240,5967.598642609952
vw,benzin,manuell,2011,34251,12188.387589062168
ford,benzin,automatik,2001,127350,7559.897073367846
audi,benzin,manuell,2002,66060,10524.62115361406
vw,benzin,manuell,2007,35871,9984.340481814823
bmw,benzin,manuell,2011,129706,11373.12241347537
vw,diesel,manuell,2012,158825,10745.618616762755
ford,diesel,manuell,1990,56960,5793.6635381463075
vw,diesel,manuell,2007,27949,11382.745990080075
mercedes_benz,benzin,automatik,1992,44734,9891.229463129028
ford,benzin,manuell,1997,197205,1433.7573769872042
bmw,diesel,manuell,2012,258783,9828.640611636572
vw,diesel,manuell,1996,58185,7716.408260695718
audi,benzin,manuell,2011,99517,11025.487219454093
ford,diesel,automatik,2002,106425,11615.297022213337
ford,diesel,automatik,1996,111423,7299.832770087428
mercedes_benz,diesel,automatik,1999,77068,12123.794517338854
bmw,diesel,manuell,2004,21304,12549.07393805181
mercedes_benz,benzin,manuell,2010,159920,11777.931619440558
ford,benzin,automatik,2006,110424,7468.6398035459
bmw,benzin,manuell,2015,105966,13625.954445857391
bmw,benzin,manuell,2013,83118,12332.127357106365
opel,diesel,manuell,2010,279155,6800.7946228657565
bmw,diesel,manuell,2006,185093,6758.265150546254
bmw,benzin,automatik,1997,128514,7037.715187334711
mercedes_benz,diesel,manuell,2001,65590,14184.0896067715
bmw,diesel,automatik,1993,241331,7518.976623661314
ford,diesel,manuell,2000,267067,6637.219003872847
bmw,benzin,manuell,2015,14534,17790.901904506387
ford,diesel,manuell,2001,279251,5724.461136246717
opel,benzin,manuell,1993,211328,1794.136971931297
mercedes_benz,benzin,manuell,2007,34450,11855.123580601567
vw,benzin,manuell,2015,227181,11176.496908174546
opel,diesel,manuell,2013,36683,13063.191961581086
audi,diesel,automatik,1997,20004,15140.95422457286
ford,benzin,manuell,2002,39021,8271.933035983868
bmw,benzin,manuell,2004,140650,12846.34378217072
mercedes_benz,diesel,manuell,1996,187772,7809.372313956367
bmw,diesel,automatik,1997,125160,11800.87289588805
vw,benzin,manuell,1996,40980,10025.437605848681
bmw,diesel,manuell,2016,63754,14490.495107728932
mercedes_benz,diesel,manuell,2010,256452,10143.462882563696
audi,diesel,manuell,2012,288974,8271.051161452204
vw,diesel,manuell,2012,227510,7704.883267612664
vw,diesel,manuell,2015,35507,15290.460275787425
opel,diesel,automatik,1992,246843,2868.197444626468
ford,diesel,manuell,2013,209136,9795.829484785203
audi,benzin,manuell,1991,160187,5930.61870245992
opel,benzin,manuell,2002,47255,5668.819749427628
ford,diesel,manuell,2006,299019,7749.769005935582
vw,benzin,manuell,1999,135568,5964.998754990123
opel,diesel,manuell,1993,18031,8137.981959356786
mercedes_benz,benzin,manuell,1995,66940,10092.269258842822
vw,benzin,manuell,2012,123373,12688.734841145762
opel,benzin,manuell,1998,23386,7574.993918325449
ford,benzin,automatik,1998,100561,3903.3238114356036
audi,benzin,manuell,2014,143179,12422.111420180341
audi,benzin,manuell,1993,284850,3504.0602872424015
ford,diesel,automatik,2014,30480,12739.008711289824
mercedes_benz,benzin,automatik,2014,175173,13617.775981649409
audi,benzin,manuell,2006,275149,6755.492347910563
audi,benzin,automatik,1994,242826,3029.3490760762347
opel,benzin,manuell,1994,277857,2450.0873425139253
opel,benzin,manuell,1997,55250,5949.412273653306
audi,diesel,automatik,2005,241396,8762.511177894396
mercedes_benz,diesel,automatik,1994,293697,5332.191729069373
audi,benzin,manuell,2002,101179,11429.63789619622
